brand,model,size,resolution,ref_rate,res_rate,panel_type,asp_ratio,price,curved,g_sync_compat,sync
Dell,U2211H,21.5,1920 x 1080,,8.0,IPS,16:9,,False,False,
Dell,U2711,27.0,2560 x 1440,60.0,6.0,IPS,16:9,,False,False,
V7,D1912-N6,19.0,1280 x 1024,,5.0,,5:4,,False,False,
V7,D1912B-N6,19.0,1280 x 1024,,5.0,,5:4,,False,False,
V7,D1711B-N6,17.0,1280 x 1024,,5.0,,5:4,,False,False,
Acer,S212HLbd,21.5,1920 x 1080,,5.0,TN,16:9,,False,False,
Acer,B193DJbmdh,19.0,1280 x 1024,,5.0,,5:4,,False,False,
Acer,V233HAJbd,23.0,1920 x 1080,,5.0,,16:9,,False,False,
Acer,V213HBJbd,21.5,1920 x 1080,,5.0,,16:9,,False,False,
Acer,G185HAb,18.5,1366 x 768,,5.0,,16:9,,False,False,
Acer,V193WEJbm,19.0,1440 x 900,,5.0,,16:10,,False,False,
Acer,V193DJbm,19.0,1280 x 1024,,5.0,,5:4,,False,False,
Acer,V193DJb,19.0,1280 x 1024,,5.0,,5:4,,False,False,
Acer,V173DJbd,17.0,1280 x 1024,,5.0,,5:4,,False,False,
Acer,V173DJb,17.0,1280 x 1024,,5.0,,5:4,,False,False,
Acer,G245HQAbd,23.6,1920 x 1080,,5.0,TN,16:9,,False,False,
Acer,B243HLbmdrz,24.0,1920 x 1080,,5.0,,16:9,,False,False,
Asus,VW248TLB,24.0,1920 x 1080,,5.0,,16:9,,False,False,
Asus,VB171T,17.0,1280 x 1024,,5.0,,5:4,,False,False,
Asus,VW193TR,19.0,1440 x 900,,5.0,,16:10,,False,False,
Asus,VH202T-P,20.0,1600 x 900,,5.0,,16:9,,False,False,
Asus,ML249H,24.0,1920 x 1080,,8.0,,16:9,,False,False,
Asus,VH196T-P,19.0,1440 x 900,,5.0,,16:10,,False,False,
Asus,VW226T-TAA,22.0,1680 x 1050,,5.0,,16:10,,False,False,
Asus,ML248H,24.0,1920 x 1080,,2.0,,16:9,,False,False,
Asus,VE276Q,27.0,1920 x 1080,,2.0,,16:9,,False,False,
Asus,VE198D,19.0,1440 x 900,,5.0,,16:10,,False,False,
Asus,VW199T-P,19.1,1440 x 900,,5.0,,16:10,,False,False,
Asus,VW224T,22.0,1680 x 1050,,5.0,,16:10,,False,False,
BenQ,BL2400PU,24.0,1920 x 1080,,8.0,,16:9,,False,False,
LG,E2770V-BF,27.0,1920 x 1080,,14.0,,16:9,,False,False,
LG,E2750VR-SN,27.0,1920 x 1080,,5.0,TN,16:9,,False,False,
LG,E2281VR-BN,22.0,1920 x 1080,,5.0,,16:9,,False,False,
LG,E2370V-BF,23.0,1920 x 1080,,14.0,IPS,16:9,,False,False,
NEC,LCD175M,17.0,1280 x 1024,,5.0,,5:4,,False,False,
NEC,MD212MC,21.3,1600 x 1200,,20.0,,4:3,,False,False,
HP,LE1911i,19.0,1280 x 1024,,5.0,,5:4,,False,False,
Hannspree,HX-191DPB,19.0,1280 x 1024,,5.0,,5:4,,False,False,
Hannspree,HZ194APB,18.5,1366 x 768,,5.0,,16:9,,False,False,
Compaq,LA1905wg,19.0,1440 x 900,,5.0,TN,16:10,,False,False,
Compaq,LE1911i,19.0,1280 x 1024,,5.0,,5:4,,False,False,
Planar,PL1910M-WH,19.0,1280 x 1024,,5.0,,5:4,,False,False,
Compaq,LE1711,17.0,1280 x 1024,,5.0,,5:4,,False,False,
Planar,PX2210MW,21.6,1920 x 1080,,5.0,,16:9,,False,False,
Lenovo,L2251X,22.0,1680 x 1050,,5.0,,16:10,,False,False,
Compaq,LA1905wg,19.0,1440 x 900,,5.0,TN,16:10,,False,False,
Lenovo,L1951P,19.0,1440 x 900,,5.0,,16:10,,False,False,
Planar,997-2795-00-BN,17.0,1280 x 1024,,5.0,,5:4,,False,False,
HP,ZR22w,21.5,1920 x 1080,,8.0,IPS,16:9,,False,False,
Planar,PL1711M-WH,17.0,1280 x 1024,,5.0,,5:4,,False,False,
Planar,PL1700M,17.0,1280 x 1024,,8.0,,5:4,,False,False,
Lenovo,L2021,20.0,1600 x 900,,5.0,TN,16:9,,False,False,
Planar,PL1911M-BK,19.0,1280 x 1024,,5.0,,5:4,,False,False,
HP,ZR22w,21.5,1920 x 1080,,8.0,IPS,16:9,,False,False,
NEC,LCD2490W2-BK-SV,24.0,1920 x 1200,,8.0,IPS,16:10,,False,False,
HP,LE1911,19.0,1280 x 1024,,5.0,,5:4,,False,False,
NEC,PA271W-BK,27.0,2560 x 1440,,16.0,,16:9,,False,False,
NEC,PA241W-BK,24.1,1920 x 1200,,8.0,,16:10,,False,False,
Lenovo,L2440p,24.0,1920 x 1200,,5.0,,16:10,,False,False,
NEC,LCD2090UXi-BK-1,20.1,1600 x 1200,,16.0,IPS,4:3,,False,False,
