brand,model,socket,form_factor,mem_max,mem_slots,color,price
MSI,MPG B550I GAMING EDGE WIFI,AM4,Mini ITX,64,2,Black / Silver,179.99
MSI,MEG X570 ACE,AM4,ATX,128,4,Black / Silver,373.00
Gigabyte,B550 GAMING X,AM4,ATX,128,4,Black / Silver,139.99
MSI,X570-A PRO,AM4,ATX,128,4,Black / Silver,159.99
ASRock,H410M-HDV/M.2,LGA1200,Micro ATX,64,2,Black,93.21
Asus,PRIME B450-PLUS,AM4,ATX,64,4,Black / Silver,134.57
MSI,MAG B550M BAZOOKA,AM4,Micro ATX,128,4,Black / Silver,125.99
Gigabyte,X570 AORUS PRO WIFI,AM4,ATX,128,4,Black / Silver,269.00
Asus,ROG STRIX B460-I GAMING,LGA1200,Mini ITX,64,2,Black / Silver,145.58
MSI,G41M4-F,LGA775,Micro ATX,8,2,Red,149.99
MSI,A320M-A PRO,AM4,Micro ATX,64,2,Black,85.09
Gigabyte,Z490 VISION G,LGA1200,ATX,128,4,White / Black,179.99
ASRock,B365M Phantom Gaming 4,LGA1151,Micro ATX,128,4,Black / Red,102.99
ASRock,B365 Pro4,LGA1151,ATX,64,4,Black / Silver,95.99
MSI,MPG Z490 GAMING CARBON WIFI,LGA1200,ATX,128,4,Black / Silver,314.99
MSI,MAG B550M MORTAR,AM4,Micro ATX,128,4,Black / Silver,154.99
Asus,PRIME B450M-A,AM4,Micro ATX,64,4,Black,102.00
Asus,B75M-Plus,LGA1155,Micro ATX,32,4,Black / Blue,140.97
Gigabyte,A520M AORUS ELITE,AM4,Micro ATX,128,4,Black / Orange,84.99
ASRock,X570M Pro4,AM4,Micro ATX,128,4,Black / Silver,177.99
Supermicro,MBD-X10DAX,2 x LGA2011-3,EATX,2000,16,Green / Black,535.03
MSI,H410M-A PRO,LGA1200,Micro ATX,64,2,Black / Silver,78.48
Asus,ROG MAXIMUS XII EXTREME,LGA1200,EATX,128,4,Black,742.99
ASRock,X570 PHANTOM GAMING-ITX/TB3,AM4,Mini ITX,64,2,Black / Silver,189.99
Asus,STRIX B350-F GAMING,AM4,ATX,64,4,Black,134.94
Gigabyte,B450M DS3H V2,AM4,Micro ATX,128,4,Black,64.99
Asus,Prime A320I-K,AM4,Mini ITX,32,2,Black,99.99
Gigabyte,H410M S2H,LGA1200,Micro ATX,64,2,Black / Silver,
Asus,PRIME B550-PLUS,AM4,ATX,128,4,Black / White,148.24
Gigabyte,B460M DS3H AC,LGA1200,Micro ATX,128,4,Black / Silver,
ASRock,B450M Pro4-F,AM4,Micro ATX,64,4,Black / Silver,107.99
Asus,Prime Z370-A,LGA1151,ATX,64,4,Black / Silver,406.49
Asus,Prime X470-Pro,AM4,ATX,64,4,Black / White,
Gigabyte,A520M S2H,AM4,Micro ATX,64,2,Black,69.98
MSI,MPG Z390 GAMING PRO CARBON AC,LGA1151,ATX,128,4,Black / Silver,239.99
Gigabyte,B550 AORUS PRO,AM4,ATX,128,4,Black / Orange,169.99
ASRock,X570 Taichi,AM4,ATX,128,4,Black / Silver,269.99
MSI,MAG B460 TOMAHAWK,LGA1200,ATX,128,4,Black / Silver,139.99
ASRock,A520M/ac,AM4,Micro ATX,64,2,Black / Silver,
MSI,H310M PRO-VDH PLUS,LGA1151,Micro ATX,32,2,Black,59.99
Asus,ROG STRIX Z490-I GAMING,LGA1200,Mini ITX,64,2,Black,270.00
Asus,ROG STRIX Z390-F GAMING,LGA1151,ATX,128,4,Black,
MSI,B450 TOMAHAWK,AM4,ATX,64,4,Black / Silver,147.97
ASRock,H110M-DGS,LGA1151,Micro ATX,32,2,Black / Orange,68.39
Gigabyte,A520I AC,AM4,Mini ITX,64,2,Black,99.99
Asus,PRIME Z490-P,LGA1200,ATX,128,4,Black / Silver,156.99
Asus,ROG MAXIMUS XII FORMULA,LGA1200,ATX,128,4,Black,474.55
ASRock,Z390 Pro4,LGA1151,ATX,128,4,Black / Silver,94.99
Asus,PRIME B360M-A,LGA1151,Micro ATX,64,4,Silver / Black,77.12
ASRock,B460 Pro4,LGA1200,ATX,128,4,Black / Silver,99.99
Gigabyte,Z490 AORUS ELITE AC,LGA1200,ATX,128,4,Black / Silver,169.99
ASRock,B550 Steel Legend,AM4,ATX,128,4,Silver / Black,144.99
ASRock,H310CM-HDV/M.2,LGA1151,Micro ATX,32,2,Black,86.00
Asus,TUF GAMING B550M-PLUS,AM4,Micro ATX,128,4,Black,147.99
Gigabyte,Z390 GAMING X,LGA1151,ATX,128,4,Black / Red,145.99
Asus,PRIME B460-PLUS,LGA1200,ATX,128,4,Silver / Black,104.99
Gigabyte,B550 AORUS MASTER,AM4,ATX,128,4,Black / Silver,249.00
MSI,MPG Z490M GAMING EDGE WIFI,LGA1200,Micro ATX,128,4,Black / Silver,186.99
Gigabyte,B550M AORUS ELITE,AM4,Micro ATX,128,4,Black / Orange,142.38
MSI,B450 GAMING PRO CARBON AC,AM4,ATX,64,4,Black,239.99
MSI,MAG B460M MORTAR WIFI,LGA1200,Micro ATX,128,4,Silver / Black,125.98
ASRock,B365M-ITX/ac,LGA1151,Mini ITX,32,2,Black / Silver,90.99
Gigabyte,Z390 AORUS ELITE,LGA1151,ATX,128,4,Black / Silver,159.99
Gigabyte,B450M S2H,AM4,Micro ATX,32,2,Black,
Biostar,B450MH,AM4,Micro ATX,32,2,Black / Yellow,64.98
Gigabyte,Z390 AORUS ULTRA,LGA1151,ATX,128,4,Black / Silver,249.99
ASRock,B550 Phantom Gaming-ITX/ax,AM4,Mini ITX,64,2,Silver / Black,169.99
ASRock,H310CM-HDV,LGA1151,Micro ATX,32,2,Black,62.98
MSI,MEG Z490 UNIFY,LGA1200,ATX,128,4,Black / Silver,229.99
MSI,B450M-A PRO MAX,AM4,Micro ATX,32,2,Black,
Asus,ROG Crosshair VIII Impact,AM4,Mini DTX,64,2,Black,429.99
Gigabyte,A520 AORUS ELITE,AM4,ATX,128,4,Black / Orange,
Asus,ROG STRIX Z490-G GAMING,LGA1200,Micro ATX,128,4,Black,233.82
Asus,ROG Rampage VI Extreme Encore,LGA2066,EATX,256,8,Black / Silver,795.95
MSI,B460M PRO-VDH WIFI,LGA1200,Micro ATX,128,4,Black,
Gigabyte,X570 UD,AM4,ATX,128,4,Black / Silver,152.99
ASRock,970M PRO3,AM3+/AM3,Micro ATX,64,4,Black,94.99
MSI,H310M PRO-M2 PLUS,LGA1151,Micro ATX,32,2,Black,59.99
MSI,MEG Z490I UNIFY,LGA1200,Mini ITX,64,2,Black / Silver,209.99
ASRock,B460 Phantom Gaming 4,LGA1200,ATX,128,4,Black,
Asus,Z170-A,LGA1151,ATX,64,4,Black / White,
Asus,ROG STRIX B460-H GAMING,LGA1200,ATX,128,4,Black / Red,139.99
Gigabyte,Z490 AORUS ULTRA,LGA1200,ATX,128,4,Black / Silver,269.00
ASRock,X570 Phantom Gaming 4,AM4,ATX,128,4,Black / Silver,151.99
Asus,ROG Strix TRX40-E Gaming,sTRX4,ATX,256,8,Black,522.99
ASRock,X570 Steel Legend,AM4,ATX,128,4,Black / Silver,191.99
Asus,TUF GAMING B460M-PLUS,LGA1200,Micro ATX,128,4,Black / Gold,
Asus,ROG MAXIMUS XI HERO,LGA1151,ATX,128,4,Black,
