brand,model,chipset,memory,core_clock,boost_clock,color,length,price
Zotac,ZT-70601-10M,GeForce GTX 750 Ti,2,1033,1111,Black / Orange,144,
Sapphire,Vapor-X,Radeon R9 290X,4,1080,,Black / Blue,305,
MSI,TWIN FROZR,GeForce GTX 750,2,1059,1137,Black / Red,248,
Zotac,ZT-90201-10P,GeForce GTX 980,4,1126,1216,Black / Silver,267,
AMD,FirePro V5900,FirePro V5900,2,600,,Black / Red,230,
Asus,DirectCU II,GeForce GTX 780,3,863,902,Black / Red,287,
MSI,N730-4GD3,GeForce GT 730,4,700,,Black,152,
GALAX,HOF,GeForce GTX 980,4,1304,1418,White / Gray,308,
GALAX,HOF,GeForce GTX 970,4,1228,1380,White / Gray,308,
Asus,GTX750-DCSL-2GD5,GeForce GTX 750,2,1020,1085,Black / Red,200,
Asus,20th Anniversary Gold Edition,GeForce GTX 980,4,1317,1431,Black / Gold,297,
MSI,V801-1279R,GeForce GTX Titan X,12,1000,1075,Black / Silver,282,
Zotac,AMP Omega,GeForce GTX 980 Ti,6,1178,1279,Blue / Silver,329,
PowerColor,PCS+ Myst Edition,Radeon R9 380X,4,1020,,Black / White,267,
VisionTek,900845,Radeon R9 380X,4,,,Black / Silver,,
EVGA,02G-P4-1950-KR,GeForce GTX 950,2,1025,1190,Black,173,
EVGA,VR EDITION,GeForce GTX 980 Ti,6,1000,1076,Black / Silver,267,
Sapphire,Vapor-X,Radeon R7 370,4,1075,,Black / Blue,264,
Gainward,Phoenix,GeForce GTX 1080,8,1607,1733,Black / Red,285,
Diamond,RX480D58G,Radeon RX 480,8,1120,1266,Black / Red,255,
EVGA,SSC GAMING,GeForce GTX 1060 3GB,3,1607,1835,Black,267,
KFA2,Virtual Edition,GeForce GTX 1070,8,1506,1683,Black / Red,,
PNY,vcggtx9502r2pb,GeForce GTX 950 75W,2,1025,1190,Black,214,
Gigabyte,GV-N1080AORUS-8GD,GeForce GTX 1080,8,1733,1873,Black / Silver,287,
EVGA,08G-P4-5671-KB,GeForce GTX 1070 Ti,8,1607,1683,Black / Silver,267,
Palit,NE5X67001042-1042F,GeForce GTX 670,2,915,980,,247,
Zotac,AMP MAXX,GeForce RTX 2080,8,1350,1830,Black,298,
Asus,TUF,GeForce GTX 1660 Ti,6,1500,1800,Black / Gray,205,
KFA2,OC,GeForce RTX 2070,8,1410,1815,Black,283,
KFA2,EX,GeForce RTX 2070,8,1410,1620,Black,295,
HIS,HS-57XR8SSBR,Radeon RX 5700 XT,8,1605,1905,,272,
MSI,GAMING X,Radeon RX 5500 XT,4,1685,1845,Black / Red,247,
Asus,GTX650TI-O-1GD5,GeForce GTX 650 Ti,1,980,,Black / Red,213,346.59
PNY,VCGGT7301D5LXPB,GeForce GT 730,1,902,,Black / Silver,149,
Galaxy,66NPH7DN7DXZ,GeForce GTX 660,2,980,,Black / Blue,243,454.59
Asus,HD7850-DC-1GD5,Radeon HD 7850,1,860,,Black / Red,248,434.59
Sapphire,ITX Compact,Radeon R9 380,2,980,,Black / Silver,170,325.00
XFX,HD-685X-ZNFC,Radeon HD 6850,1,775,,Black / Silver,234,229.00
XFX,HD-695X-ZNFC,Radeon HD 6950,1,800,,Black / Red,259,199.00
Gigabyte,GV-N550OC-1GI,GeForce GTX 550 Ti,1,970,,Black / Blue,,
Galaxy,56NGH6HS4IVZ,GeForce GTX 560 Ti,1,835,,Black / Silver,236,521.59
EVGA,012-P3-2078-KR,GeForce GTX 560 Ti 448,1.25,810,,Black,266,545.59
Sapphire,100357-2GL,Radeon HD 7750,2,800,,Black / Blue,175,
PowerColor,PCS+,Radeon R9 390X,8,1060,,Black / Silver,305,
PowerColor,AX6850 1GBD5-PPDHGJ,Radeon HD 6850,1,820,,,,685.98
Sapphire,100289FLEX,Radeon HD 5670,1,775,,,,
PNY,VCG951024GXXB,GeForce 9500 GT,1,550,,,,
EVGA,012-P3-2068-KR,GeForce GTX 560 Ti 448,1.25,797,,Black / Red,266,637.59
ATI,100-505553,FirePro V5700,0.5,,,Black / Red,,109.99
Sparkle,700000,GeForce GTX 680,2,1006,,Black / Orange,254,742.50
ATI,FirePro W9000,FirePro W9000,6,975,,Black / Red,279,1060.00
PNY,VCQK600-PB,Quadro K600,1,876,,Black / Green,160,
EVGA,01G-P3-1158-TR,GeForce GTS 250,1,738,,Black / Red,,
Asus,ARES/2DIS/4GD5,Radeon HD 5870 X2,4,850,,Black / Red,279,
Asus,EAH5450 SILENT/DI/1GD3,Radeon HD 5450,1,650,,Black / Red,,
Diamond,5870PE51G,Radeon HD 5870,1,850,,Black / Red,,
EVGA,01G-P3-1366-TR,GeForce GTX 460 SE,1,650,,Black / Silver,209,
Gigabyte,GV-N460SE-1GI,GeForce GTX 460 SE,1,730,,,,
PNY,VCGGTX560TXPB,GeForce GTX 560 Ti,1,822,,Black / Green,209,
Zotac,ZT-40602-10L,GeForce GT 430,1,700,,Black / Orange,144,
Asus,EAH6950 DCII/2DI4S/2GD5,Radeon HD 6950,2,810,,Black / Red,297,
MSI,TWIN FROZR III PE,Radeon HD 6950,2,850,,,,
VisionTek,900374,Radeon HD 3450,0.5,600,,Black / Red,,
Asus,MARS II/2DIS/3GD5,GeForce GTX 580 X2,3,782,,,330,
XFX,HD-645X-ZQH2,Radeon HD 6450,1,650,,Black,181,121.59
Gigabyte,GV-N550WF2-1GI,GeForce GTX 550 Ti,1,970,,Black / Blue,238,
Sapphire,11200-01-20G,Radeon HD 7850,2,920,,Black / Blue,210,
Zotac,ZT-60101-10P,GeForce GTX 680,2,1006,,Black / Orange,266,1057.58
Asus,ENGTX560 TI DC2 TOP/2DI/2GD5,GeForce GTX 560 Ti,2,900,,Black / Red,258,
MSI,N630GT-MD2GD3,GeForce GT 630,2,810,,Black,,
XFX,FX797GTDFC,Radeon HD 7970 GHz Edition,3,1050,,Black / Silver,274,
XFX,GT-620N-ZNF2,GeForce GT 620,1,700,,,170,137.59
MSI,R7750-PMD2GD3,Radeon HD 7750,2,800,,Black,167,
Asus,GTX680-DC2-2GD5,GeForce GTX 680,2,1006,,Black / Red,299,
PNY,VCGGTX680XPB-CG,GeForce GTX 680,2,1006,,Black / Gold,254,
Asus,HD7790-DC2OC-1GD5,Radeon HD 7790,1,1075,,Black / Red,216,
Gigabyte,GV-N65TBOC-2GD BOOST,GeForce GTX 650 Ti Boost,2,1032,,Black / Blue,248,
EVGA,01G-P4-3656-KR,GeForce GTX 650 Ti Boost,1,1072,,Black / Silver,241,
MSI,LIGHTNING,GeForce GTX 770,2,1150,,Black / Yellow,279,
EVGA,04G-P4-2766-KR,GeForce GTX 760,4,980,,Black / White,241,
XFX,R7-240A-CLF2,Radeon R7 240,2,750,780,Black,175,
Gigabyte,GV-R929XD5-4GD-B-GA,Radeon R9 290X,4,1000,,Black / Red,289,
Zotac,Synergy Edition,GeForce GTX 660,2,993,1059,Black / Silver,195,
Gainward,2944 PCX,GeForce GTX 770,2,1046,1085,Black,280,
Sapphire,Tri-X,Radeon R9 290,4,1000,,Black / Orange,305,
Zotac,ZT-61107-10M,GeForce GTX 650 Ti,2,928,,Black / Orange,153,
PNY,Enthusiast Edition,GeForce GTX 770,2,1046,1085,Black / Gold,,
Zotac,ZT-70701-10M,GeForce GTX 750,1,1033,1111,Black / Orange,144,
XFX,Core Edition,Radeon R7 250,2,1000,1050,Black / Red,190,
Sapphire,Dual-X,Radeon R9 280,3,850,940,Black / Silver,261,
Asus,STRIX,Radeon R9 285,2,954,,Black / Red,269,
Zotac,AMP Omega,GeForce GTX 970,4,1102,1241,Silver,267.97,
Inno3D,iChill HerculeZ X4 Air Boss Ultra,GeForce GTX 970,4,1152,1279,Black / Red,300,
AMD,FirePro W5100,FirePro W5100,4,930,,Black / Red,171,
AMD,FirePro 2270,FirePro 2270,0.5,600,,Black / Red,170,
AMD,FirePro S9050,FirePro S9050,12,900,,Black / Silver,254,
Asus,GT730-SL-2GD3-B,GeForce GT 730,2,902,,Black,137,
MSI,N730-2GD3V1,GeForce GT 730,2,700,,Black,152,
EVGA,Superclocked,GeForce GTX 980,4,1241,1342,Black / Silver,267,
Sapphire,Dual-X,Radeon R9 285,2,965,,Black / Purple,264,
XFX,DD,Radeon R9 380,2,990,,Black / Silver,234,
Gigabyte,SOC,Radeon R9 380,4,990,,Black,234,
KFA2,OC,GeForce GTX 780 Ti,2,1072,1150,Black / Silver,,
Asus,STRIX-R9380-DC2OC-4G,Radeon R9 380,4,990,,Black / Red,271,
HIS,IceQ X² OC,Radeon R9 380,4,990,,Black / Silver,270,
Asus,R9NANO-4GB,Radeon R9 Nano,4,1000,,Black / Red,152,
KFA2,HOF,GeForce GTX 980 Ti,6,1190,1291,White / Silver,315,
MSI,LIGHTNING LE,GeForce GTX 980 Ti,6,1026,1114,Black / Yellow,330,
Gigabyte,GV-N98TXTREME W-6GD,GeForce GTX 980 Ti,6,1216,1317,Black / Silver,269,
XFX,Core Edition,Radeon HD 7750,2,800,,Black / Silver,168,
Sapphire,NITRO,Radeon R7 360,2,1060,,Black,211,
Gigabyte,XTREME,GeForce GTX 980 Ti,6,1000,1075,Black / Silver,287,
GALAX,EX OC White,GeForce GTX 950,2,1203,1405,White,254,
EVGA,06G-P4-0998-KR,GeForce GTX 980 Ti,6,1190,1291,Black / Silver,280,
Gainward,Founders Edition,GeForce GTX 1070,8,1506,1683,Black / Silver,267,
Gainward,GTX1070_Phoenix_GLH,GeForce GTX 1070,8,1670,1873,Black / Red,285,
XFX,Triple Dissipation,Radeon RX 470,4,926,1226,Black,240,
HIS,IceQ X² OC,Radeon RX 470,4,926,1226,Black / Blue,241,
PowerColor,Red Dragon,Radeon RX 460,4,1090,1212,Black,225,
PowerColor,Red Dragon,Radeon RX 470,4,926,1210,Black,255,
Asus,DUAL,GeForce GTX 1050,2,1345,1455,White / Blue,212,
PowerColor,Red Dragon OC,Radeon RX 560 - 1024,2,1175,1180,Black,225,
GALAX,HOF,GeForce GTX 1080 Ti,11,1569,1683,White,327,
GALAX,EX OC,GeForce GTX 1080 Ti,11,1531,1645,Black,281,
ASRock,Phantom Gaming,Radeon RX VEGA 64,8,1247,1546,Black / Red,280,
EVGA,08G-P4-5184-KR,GeForce GTX 1080,8,1607,1733,Black / Silver,267,
PNY,Blower,GeForce RTX 2080,8,1515,1710,Black,266.7,
KFA2,None,GeForce GTX 1660 Ti,6,1500,1800,Black,228,
Gainward,Ghost OC,GeForce GTX 1650,4,1485,1815,Black,170,
Inno3D,HerculeZ Twin X2 V2,GeForce GTX 1070 Ti,8,1607,1683,Black,200,
Inno3D,iChill X3,GeForce GTX 1070 Ti,8,1607,1683,Black,302.2,
Gigabyte,GV-N1050OC-3GL,GeForce GTX 1050,3,1404,1569,Black,167,
PNY,VCGGTX 10502PB-BB,GeForce GTX 1050,2,1354,1455,Black,178,
MSI,MECH,Radeon RX 5500 XT,4,1607,1845,Black,215,
Gigabyte,TURBO,GeForce RTX 2080 Ti,11,1350,1545,Black,267.2,
Gigabyte,GAMING OC,Radeon RX 560 - 1024,4,1176,1234,Black / Orange,190,
ATI,FirePro S7000,FirePro S7000,4,950,,Black / Silver,292,269.99
Inno3D,iChill X3 Ultra,GeForce RTX 2080 SUPER,8,1650,1845,Black,300,
Gigabyte,GV-R645OC-1GI,Radeon HD 6450,1,675,,Black / Blue,,
EVGA,04G-P4-2686-KR,GeForce GTX 680,4,1019,,Black / Silver,254,1153.58
Asus,GTX660 TI-DC2T-2GD5,GeForce GTX 660 Ti,2,1059,,Black / Red,271,678.59
PNY,VCQ4000MAC-PB,Quadro 4000,2,,,Black / Silver,,226.60
EVGA,01G-P4-2652-KR,GeForce GTX 650,1,1150,,Black / Silver,170,345.99
ATI,FirePro 2450 Multi-View,FirePro 2450,0.5,600,,Black / Red,168,98.99
BFG,BFGE94512GTE,GeForce 9400 GT,0.5,,,Blue / White,,
KFA2,OC,GeForce RTX 2080,8,1515,1785,Black,288,
MSI,R5450-MD1GD3H/LP,Radeon HD 5450,1,,,Black / Silver,,
MSI,R6770-MD1GD5,Radeon HD 6770,1,800,,Black,,
MSI,N680GTX-PM2D2GD5,GeForce GTX 680,2,1006,,Black / Blue,270,963.59
EVGA,02G-P4-2651-KR,GeForce GTX 650,2,1058,,Black / Silver,152,296.58
Asus,GT640-1GD3-L,GeForce GT 640,1,901,,,171,218.59
EVGA,02G-P4-2771-KR,GeForce GTX 770,2,1085,,Black / Gold,266,
PNY,VCQ450NVS-X16-DVI-PB,Quadro NVS 450,0.5,550,,Black / Green,,117.98
HP,J3G92AT,FirePro W5100,4,930,,Black / Red,171,329.00
XFX,DD,Radeon R9 380,2,990,,Black / Silver,234,
Gigabyte,GV-R465OC-1GI,Radeon HD 4650,1,650,,Black / Blue,,
XFX,HD-485X-ZDFC,Radeon HD 4850,1,625,,,,
Asus,EAH6970/2DI2S/2GD5,Radeon HD 6970,2,890,,,279,
MSI,TWIN FROZR II,Radeon HD 6870,1,900,,Black / Silver,255,
PowerColor,AX6850 1GBD5-DH,Radeon HD 6850,1,775,,Black / Red,,
Asus,EAH5670/DI/1GD5,Radeon HD 5670,1,775,,Black / Red,,
Gigabyte,GV-R687OC-1GD,Radeon HD 6870,1,915,,Black / Blue,,
Zotac,ZT-40406-10P,GeForce GTX 460,2,710,,Black / Orange,,
Asus,ENGTX560 TI DCII/2DI/1GD5,GeForce GTX 560 Ti,1,830,,Black / Red,,
MSI,Cyclone PE,Radeon HD 6850,1,860,,Black / Silver,,
Sapphire,100322L,Radeon HD 6450,1,,,Black / Blue,,
PowerColor,AX6570 1GBK3-H,Radeon HD 6570,1,650,,Black / Red,,
XFX,HD-545X-ZQH2,Radeon HD 5450,1,650,,,182,
Gigabyte,GV-N560UD-1GI,GeForce GTX 560 Ti,1,822,,,241,
Asus,GT520-1GD3-CSM,GeForce GT 520,1,810,,Black / Blue,,
EVGA,01G-P3-1363-KR,GeForce GTX 460,1,867,,Black,209,351.98
PowerColor,AX7770 1GBD5-2DH,Radeon HD 7770,1,1000,,Black / Red,210,
Galaxy,55NGH8HX4UXX,GeForce GTX 550 Ti,1,900,,Black,184,278.58
Asus,HD7870-DC2-2GD5,Radeon HD 7870,2,1010,,Black / Red,264,
Sapphire,11199-00-20G,Radeon HD 7870,2,1000,,Black / Blue,260,
HIS,H795Q3G2M,Radeon HD 7950,3,800,,Black / Blue,294,
XFX,FX-775A-ZNP4,Radeon HD 7750,1,800,,Black / Silver,210,
PNY,VCGGTX580XPB-CG,GeForce GTX 580,1.5,772,,Black / Gold,266,
PowerColor,AX7850 2GBD5-DH,Radeon HD 7850,2,860,,Black / Yellow,202,
Asus,GTX660 TI-DC2-2GD5,GeForce GTX 660 Ti,2,915,,Black / Red,271,
PNY,VCGGTX660TXPB-C,GeForce GTX 660 Ti,2,915,,Black,254,
Gigabyte,GV-N65TOC-1GI,GeForce GTX 650 Ti,1,1032,,Black / Blue,187,
Galaxy,65IGH8DL7AXX,GeForce GTX 650 Ti,1,966,,Blue / Silver,174,328.59
Asus,HD7950-3GD5,Radeon HD 7950,3,800,,Black / Red,269,
MSI,N660TI-2GD5/OC,GeForce GTX 660 Ti,2,941,,Black / Silver,245,
Asus,ROG Ares II,Radeon HD 7990,6,1050,,Black / Red,299,
EVGA,03G-P4-2667-KR,GeForce GTX 660,3,1072,,Black / Silver,241,
EVGA,04G-P4-2671-KR,GeForce GTX 670,4,915,,Black / Silver,241,
Galaxy,76XPH6DV6XSX,GeForce GTX 760,2,980,1003,Black / Blue,241,
EVGA,Dual FTW,GeForce GTX 780,3,980,1033,Black / Silver,266,
Sapphire,Vapor-X,Radeon R9 280X,3,850,,Black / Silver,276,
HIS,IceQ X²,Radeon R9 280X,3,1000,1050,Black / Silver,310,
Sapphire,100368L R7 250,Radeon R7 250,1,1000,1050,Black,150,
Asus,R9290X-4GD5,Radeon R9 290X,4,1000,,Black / Red,276,
Club,3D royalQueen,Radeon R9 280X,3,850,1000,Black / Red,266,
Gigabyte,GV-R724OC-2GI,Radeon R7 240,2,900,,Black / Silver,195,
HIS,IceQ X²,Radeon R9 290,4,662,974,Black / Gold,314,
PowerColor,PCS+,Radeon R9 290X,4,1050,,Black,295,
KFA2,76XPH6DV6XSX,GeForce GTX 760,2,980,1033,Black,241,
PowerColor,TurboDuo,Radeon R9 280,3,855,960,Black / Red,266,
PowerColor,TurboDuo,Radeon R9 270X,2,1030,1080,Black / Red,225,
HIS,IceQ X²,Radeon R9 290,4,662,967,Black / Gold,297,
Asus,GTXTITANZ-12GD5,GeForce GTX Titan Z,12,705,876,Black / Silver,270,
EVGA,02G-P3-2732-KR,GeForce GT 730,2,700,,Black,144,
Sapphire,Vapor-X,Radeon R9 290X,8,1060,,Black / Blue,,
Zotac,ZT-71101-10L,GeForce GT 730,2,902,,Black / Orange,146,
MSI,R5 230 2GD3H LP,Radeon R5 230,2,625,,Black / White,164,
Zotac,ZT-70706-10M,GeForce GTX 750,1,1033,1111,Black / Orange,144.78,
Palit,KalmX,GeForce GTX 750 Ti,2,1020,1085,Black / Gold,,
PowerColor,TurboDuo,Radeon R9 285,2,945,,Black / Red,208,
Zotac,AMP Omega,GeForce GTX 980,4,1202,1304,Silver,268,
AMD,FirePro 2270,FirePro 2270,1,600,,Black / Red,170,
ATI,FirePro W5000,FirePro W5000,2,825,,Black / Red,183,169.89
GALAX,EX OC,GeForce GTX 970,4,1164,1317,Black,271,
Asus,GT740-OC-2GD5,GeForce GT 740,2,1033,,Black,173,
Zogis,Superclock,GeForce GTX 980,4,1152,1253,Black / Yellow,,
Inno3D,HerculeZ,GeForce GTX 960,2,1329,1393,Black / Red,300,
Asus,90YV0810-U0NA00,GeForce GTX Titan X,12,1000,1075,Black / Silver,282,
XFX,DD,Radeon R7 360,2,1050,,Black / Silver,234,
KFA2,96NPH8DND8VZ,GeForce GTX 960,2,1165,1228,Black / Silver,193,
PowerColor,Devil,Radeon R9 390X,8,1100,,Black / Silver,285,
Zotac,ZT-90602-10M,GeForce GTX 950,2,1102,1279,Black,283,
XFX,DD,Radeon R7 370,2,995,,Black / Silver,234,
MSI,GAMING LE,Radeon R9 390X,8,1050,1060,Black / Red,277,
Zotac,VCGGTX9502XPB-OC-BB,GeForce GTX 950,2,1241,,Black / Blue,213,
Gainward,Phoenix GS,GeForce GTX 1080,8,1708,1847,Black / Red,285,
Palit,JetStream,GeForce GTX 1080,8,1607,1733,Black / Gray,285,
VisionTek,900888,Radeon RX 480,8,1120,1266,Black / Red,255,
XFX,Triple Dissipation,Radeon RX 470,4,926,1236,Black,240,
XFX,RX-460P2SFG5,Radeon RX 460,2,1090,1220,Black,178,
XFX,RX-460P4HFG5,Radeon RX 460,4,1090,1220,Silver,204,
XFX,RX-460P4TFG5,Radeon RX 460,4,1090,1220,Black / Red,170,
MSI,Radeon RX 460 2GT LP,Radeon RX 460,2,1090,1200,Black,169,
MSI,GT 1030 2GH OC,GeForce GT 1030,2,1265,1518,Black,147,
EVGA,SC2 ELITE GAMING,GeForce GTX 1080 Ti,11,1556,1670,Blue / Black,267,
PowerColor,Red Dragon OC,Radeon RX 560 - 1024,2,1175,1180,Black,225,
Gigabyte,Radeon RX VEGA 64 SILVER,Radeon RX VEGA 64,8,1247,1546,Silver / Red,283,
Gigabyte,GV-N610-2GI,GeForce GT 610,2,810,,Black / Blue,145,
Gigabyte,GV-N75TOC-1GI,GeForce GTX 750 Ti,2,1033,1111,Black,171,
GALAX,HOF,GeForce GTX 1070 Ti,8,1607,1683,White,330,
Inno3D,iChill,GeForce GTX 1080,8,1759,1898,Silver / Red,303,
EVGA,01G-P3-3711-KR,GeForce GT 710,1,945,,,145,
PNY,VCGGT7301D3LXPB-BB,GeForce GT 730,1,400,,Black,127,
Asus,AREZ OC,Radeon RX 560 - 896,4,1149,1197,Black / Red,221,
Gainward,TRIPLE,GeForce RTX 2080,8,1515,1710,Black,292,
AMD,FirePro S9150,FirePro S9150,16,900,,Black / White,267,
PowerColor,AX5750 1GBD5-NS3DH,Radeon HD 5750,1,700,,,,352.58
Zotac,ZT-60102-10P,GeForce GTX 680,2,1098,,Black / Orange,254,1112.58
PNY,VCGGTX560XPB,GeForce GTX 560,1,810,,Black / Blue,209,379.11
Zotac,ZT-50403-10L,GeForce GTX 550 Ti,1,900,,Black / Orange,203,340.59
EVGA,03G-P3-1594-KR,GeForce GTX 580,3,855,,Black,279,1112.58
Galaxy,68NQH6DN6DXZ,GeForce GTX 680,4,1110,,Black / Silver,254,1210.58
MSI,N650Ti PE 1GD5/OC,GeForce GTX 650 Ti,1,993,,Black,230,355.59
XFX,DD,Radeon R9 290,4,980,,Black / Silver,294,
PNY,VCGGTX580XPB-LC,GeForce GTX 580,1.5,857,,Black / White,,1022.59
Gigabyte,GV-R677D5-1GD,Radeon HD 6770,1,775,,,205,
Sparkle,700006,GeForce GT 630,2,810,,Blue / Silver,,
ATI,FirePro W600,FirePro W600,2,600,,Black / Red,163,358.52
Inno3D,iChill Black,GeForce RTX 2080 SUPER,8,1650,1845,Gray / Black,272,
Gigabyte,GV-R583UD-1GD,Radeon HD 5830,1,800,,Black / Blue,,266.94
Asus,HD7950-DC2T-3GD5,Radeon HD 7950,3,900,,Black / Red,299,
ATI,100-505532,FirePro 2450,0.5,,,Black / Red,,316.58
Asus,GTX670-DC2T-2GD5,GeForce GTX 670,2,1058,,Black / Red,271,890.59
XFX,Core Edition,Radeon HD 7850,1,860,,Black / Silver,198,400.06
Asus,DirectCU II,GeForce GTX 760 X2,4,1006,1072,Black / Red,279,
MSI,NTITAN Z 12GD5,GeForce GTX Titan Z,12,705,876,Black / Silver,269,
Palit,NE5XTIX015KB,GeForce GTX Titan X,12,1000,1075,Black / Silver,282,
Gigabyte,GV-N470OC-13I,GeForce GTX 470,1.25,630,,Black / Blue,,
Asus,EN9800GT/HTDP/512MD3,GeForce 9800 GT,0.5,,,,228.6,
EVGA,512-P3-1140-TR,GeForce GTS 250,0.5,675,,Black / Green,241,
Zotac,ZT-98GEY3M-FSL,GeForce 9800 GT,1,550,,Black / Orange,193,
Sapphire,100290SR,Radeon HD 5870,2,850,,Black / Red,,
Zotac,ZT-50201-10P,GeForce GTX 570,1.25,732,,Black / Orange,266,
XFX,HD-685X-ZDFC,Radeon HD 6850,1,775,,Black / Silver,234,
MSI,R4350-MD512H,Radeon HD 4350,0.5,600,,Red,,149.94
Asus,ENGTX580/2DI/1536MD5,GeForce GTX 580,1.5,782,,Black / Silver,279,
Gigabyte,GV-N460OC2-1GI,GeForce GTX 460,1,760,,Black / Blue,,
Gigabyte,GV-N570OC-13I,GeForce GTX 570,1.25,780,,Black / Blue,,
Asus,EN8400GS/DI/512MD2,GeForce 8400 GS,0.5,589,,,170,
EVGA,02G-P3-1386-KR,GeForce GTX 460,2,700,,Black / Silver,209,
Gigabyte,GV-N450OC-1GI,GeForce GTS 450,1,830,,Black / Blue,,
EVGA,01G-P3-1430-LR,GeForce GT 430,1,700,,Black / Green,168,
Gigabyte,GV-N560SO-1GI-950,GeForce GTX 560 Ti,1,950,,,,
MSI,TWIN FROZR II,Radeon HD 6950,2,810,,Black / Silver,,
HIS,H577FK1GD,Radeon HD 5770,1,850,,Black / Blue,,
HIS,H667F1GD,Radeon HD 6670,1,800,,Black / Blue,,
Sapphire,100328L,Radeon HD 6770,1,,,Black / Blue,,
XFX,HD-679X-ZDFC,Radeon HD 6790,1,840,,Black / Silver,261,
XFX,HD-697A-CNDC,Radeon HD 6970,2,900,,Black / Red,287,
EVGA,01G-P3-1351-KR,GeForce GTS 450,1,783,,Black / Gold,209,
Asus,ENGTX560 DC/2DI/1GD5,GeForce GTX 560,1,810,,Black / Red,248,
EVGA,025-P3-1579-AR,GeForce GTX 570,2.5,732,,Black / Red,228,
XFX,HD-687X-CNFC,Radeon HD 6870,2,900,,,219,
XFX,HD-545X-YQH2,Radeon HD 5450,0.5,650,,Black,,114.59
XFX,HD-677X-Z5F3,Radeon HD 6770,1,850,,,223,
EVGA,02G-P3-1569-KR,GeForce GTX 560 Ti X2,2,850,,Black / Yellow,292,
Sapphire,100312-3L,Radeon HD 6950,2,800,,Black / Blue,260,
PNY,VCGGTX4601XPB,GeForce GTX 460,1,675,,Black / Green,,
PowerColor,AX7870 2GBD5-2DH,Radeon HD 7870,2,1000,,Black / Red,241,
VisionTek,900505,Radeon HD 7850,2,860,,Black / Blue,,
ATI,100-505637,FirePro V3900,1,,,Black / Red,,98.99
Gigabyte,GV-N440-1GI,GeForce GT 440,1,810,,Black / Blue,185,
PNY,VCGGT640XPB,GeForce GT 640,1,900,,Black,152,
Gigabyte,GV-N670WF2-2GD,GeForce GTX 670,2,941,,Black / Blue,264,
Gigabyte,GV-R797TO-3GD,Radeon HD 7970 GHz Edition,3,1100,,Black / Blue,284,
MSI,N660Ti-PE-2GD5,GeForce GTX 660 Ti,2,915,,Black / Blue,264,
Galaxy,66NPH7DV6VXZ,GeForce GTX 660 Ti,2,1006,,Black / Silver,254,613.36
Zotac,ZT-61002-10M,GeForce GTX 650,2,1071,,Black / Orange,153,
Zotac,ZT-60204-20L,GeForce GT 640,2,900,,Black / Silver,144,
EVGA,04G-P4-2647-KR,GeForce GT 640,4,901,,Black,170,
Gigabyte,GV-R785OC-1GD,Radeon HD 7850,1,900,,Black / Blue,241,
EVGA,Superclocked,GeForce GTX 660,3,1046,,Black / Silver,241,
EVGA,FTW,GeForce GTX 660,3,1072,,Black / Silver,241,
Asus,GTX650-DCO-1GD5,GeForce GTX 650,1,1137,,Black / Red,245,293.58
Sapphire,11197-12-40G,Radeon HD 7970 GHz Edition,3,1000,,Black / Blue,285,
PowerColor,AX7990 6GBD5-2DHJ,Radeon HD 7990,6,900,,Black,314,
Sapphire,100352-3L,Radeon HD 7950,3,850,,Black / Silver,270,
EVGA,Superclocked,GeForce GTX Titan,6,876,,Black / Silver,266,
MSI,TWIN FROZR,Radeon HD 7970,3,1000,,Black / Silver,268,
HIS,H799F6G4M,Radeon HD 7990,6,950,,Black / Red,320,
Gigabyte,GV-N780D5-3GD-B,GeForce GTX 780,3,863,,Black / Silver,282,
MSI,R7790-1GD5/OC,Radeon HD 7790,1,1050,,Black / Blue,182,
Sapphire,11199-10-40G,Radeon HD 7870 GHz Edition,2,1000,,Black / Blue,260,
Sapphire,11201-20-20G,Radeon HD 7770 GHz Edition,1,1100,,Black / Blue,184,
Gigabyte,WINDFORCE,GeForce GTX 760,2,1085,,Black,275,
EVGA,02G-P4-2760-KR,GeForce GTX 760,2,980,,Black / Silver,241,
Palit,Super JetStream,GeForce GTX 780,3,980,1033,Black / Gold,267,
XFX,Double D FX-795A-TDKC,Radeon HD 7950,3,925,,Black / Silver,236,
VisionTek,Radeon R9 280X,Radeon R9 280X,3,850,1000,Black / Red,,
Gigabyte,GV-R929D5-4GD-B,Radeon R9 290,4,947,,Black / Red,289,
Asus,GTX760-DCMOC-2GD5,GeForce GTX 760,2,1006,1075,Black / Red,170,
PowerColor,AX6450 1GBK3-MH,Radeon HD 6450,1,625,,Black / Blue,,
Club,3D '14,Radeon R9 270,2,900,955,Black / Red,210,
XFX,r7-240a-cnf4,Radeon R7 240,2,730,780,Black,177,
MSI,R7 260X 2GD5 OCV1,Radeon R7 260X,2,1050,,Black / Blue,202,
Sapphire,Dual-X,Radeon R9 270X,4,1000,,Black / Silver,228,
PowerColor,AXR7 250X 1GBD5-HE,Radeon R7 250X,1,1000,,Black / Red,170,
Sapphire,100367VXL,Radeon R7 250X,1,1100,,Black / Silver,225,
MSI,R7 250X 1GD5,Radeon R7 250X,1,1000,,Black / Blue,200,
XFX,Core Edition,Radeon R7 250,1,800,,Black / Silver,210,
EVGA,Superclocked,GeForce GT 740,2,1059,,Black / White,153,
