brand,model,chipset,memory,core_clock,boost_clock,color,length,price
PNY,XLR8 Gaming Overclocked Edition,GeForce RTX 2080 SUPER,8,1650,1860,Black,314,709.94
MSI,GAMING X,Radeon RX 5600 XT,6,1235,1620,Black / Silver,297,389.94
Asus,Phoenix OC,GeForce GTX 1650 SUPER,4,1530,1770,Black / White,173.99,254.37
PNY,XLR8 Gaming Overclocked Edition,GeForce GTX 1650,4,1485,1725,Black,144.78,159.94
EVGA,SC ULTRA GAMING,GeForce RTX 2060,6,1365,1755,Black,267.97,447.94
Gigabyte,Vision OC,GeForce RTX 3080,10,1440,1800,Silver / White,320,
MSI,GAMING X,GeForce RTX 2070 SUPER,8,1605,1800,Black,297,
PNY,VCG16606SSFPPB,GeForce GTX 1660 SUPER,6,1530,1785,Black,167.894,239.94
Gigabyte,AORUS MASTER,GeForce RTX 3070,8,1500,1845,Black,290,
Sapphire,PULSE,Radeon RX 580,8,1257,1366,Black,230,219.99
Asus,TUF GAMING OC,GeForce RTX 3080,10,1440,,Black,299.9,
Gigabyte,GV-N1030OC-2GI,GeForce GT 1030,2,1290,1544,Black / Orange,168,88.99
Gigabyte,GV-R68-16GC-B,Radeon RX 6800,16,1700,2105,Black / Silver,267,
MSI,AERO ITX OC,GeForce GTX 1650 SUPER,4,1530,1740,Black / White,175,198.99
Gigabyte,Vision OC,GeForce RTX 3070,8,1500,1815,Silver,286,
Asus,DUAL EVO OC V2,GeForce RTX 2060 SUPER,8,1470,1725,Black,242,718.40
EVGA,XC ULTRA GAMING,GeForce RTX 2070 SUPER,8,1605,1800,Transparent,269.83,999.99
Gigabyte,OC,GeForce GTX 1650 SUPER,4,1530,1740,Black,172,202.11
PNY,Dual Gaming OC,GeForce RTX 2060 SUPER,8,1470,1680,Black,234.95,409.94
Asus,DUAL OC,GeForce RTX 3070,8,1500,,Black,267,
Asus,TUF OC,GeForce RTX 2060,6,1365,1740,Black / Gray,204,390.94
ASRock,Radeon RX 6800 XT 16G,Radeon RX 6800 XT,16,1825,2250,Black / Silver,267,
Gigabyte,OC,GeForce GTX 1660,6,1530,1785,Black / Gray,224,398.99
MSI,GT LP,GeForce GT 710,1,954,,Black,129,35.99
XFX,THICC II Pro,Radeon RX 5600 XT,6,1247,1620,Black,280,
Gigabyte,GAMING 8G,Radeon RX 580,8,1257,1355,Black / Orange,232,
Asus,Phoenix OC,GeForce GTX 1660 SUPER,6,1530,1830,Black / White,174,294.94
Gigabyte,WINDFORCE OC,GeForce RTX 2060,6,1680,1770,Black,264.9,698.88
Zotac,GAMING Twin Edge OC,GeForce RTX 3070,8,1500,1755,Black,231.9,
EVGA,SC BLACK GAMING,GeForce RTX 2060 SUPER,8,1470,1650,Black / Silver,267.97,
MSI,VENTUS GP,GeForce RTX 2070,8,1410,1620,Silver / Black,232,713.32
EVGA,SC ULTRA GAMING,GeForce GTX 1660 SUPER,6,1530,1830,Black,202.1,304.84
MSI,GT 710 1GD3H LP,GeForce GT 710,1,954,,Black,146,35.00
Asus,DUAL,GeForce GTX 1060 6GB,6,1594,1809,White,242,
NVIDIA,Founders Edition,GeForce RTX 2080 Ti,11,1350,1635,,267,1899.99
Zotac,MINI,GeForce RTX 2070 SUPER,8,1605,1770,Black,209.6,799.98
Zotac,GAMING,GeForce RTX 2060,6,1365,1680,Black,209.6,599.98
EVGA,KO GAMING,GeForce RTX 2070 SUPER,8,1605,1770,Black,269.83,979.99
Asus,DUAL EVO OC,Radeon RX 5500 XT,8,1607,1865,Black,242,209.99
PNY,VCG16504SSFPPB,GeForce GTX 1650 SUPER,4,1530,1725,Black,167.894,174.99
Gigabyte,OC,GeForce GTX 1660 Ti,6,1500,1800,Black / Gray,225.65,448.00
NVIDIA,Founders Edition,GeForce RTX 2080 SUPER,8,1650,1815,Silver,266.74,1449.00
Asus,STRIX GAMING Advanced,GeForce GTX 1660 SUPER,6,1530,1845,Black / Silver,243,
Sapphire,PULSE BE,Radeon RX 5600 XT,6,1247,1620,Black / Red,230.5,352.00
PowerColor,Red Dragon,Radeon RX 5700 XT,8,1650,1905,Black,240,409.99
Sapphire,PULSE,Radeon RX 550 - 512,4,1100,1206,Black / Red,158,156.45
Asus,DUAL,Radeon RX 580,8,1257,1380,Black / Silver,242,251.94
MSI,GAMING X,Radeon RX 5500 XT,8,1685,1845,Black / Red,247,219.99
MSI,GAMING X TRIO,GeForce RTX 2070 SUPER,8,1605,1800,Black,328,
Gigabyte,WINDFORCE OC,GeForce GTX 1060 3GB,3,1556,1797,Black / Orange,223,269.94
MSI,GAMING X TRIO,GeForce RTX 3090,24,1400,,Black,335,2899.99
Gigabyte,AORUS MASTER,GeForce RTX 3080,10,1440,,Black,319,
XFX,Triple Dissipation,Radeon RX 5700 XT,8,1605,1905,Black,326,915.99
EVGA,FTW3 ULTRA GAMING,GeForce RTX 3070,8,1500,1815,Black / Silver,299.974,
PNY,VCQRTX8000-PB,Quadro RTX 8000,48,1395,1770,Black / White,266.7,5126.00
Sapphire,NITRO+ SE,Radeon RX 5700 XT,8,1840,2035,Black / Silver,306,1204.99
Asus,STRIX GAMING OC,Radeon RX 570,8,1168,1310,Black,240,228.00
Gigabyte,EAGLE OC,GeForce RTX 3070,8,1500,1770,Black / Silver,282,
ASRock,Taichi X OC+,Radeon RX 5700 XT,8,1810,2025,Black / Gold,324.35,
NVIDIA,TITAN RTX,TITAN RTX,24,1350,1770,Gold / Black,266.7,3100.00
Asus,STRIX GAMING,GeForce GTX 1080 Ti,11,1493,1632,Black,298,1339.00
Gigabyte,GV-N105TOC-4GD,GeForce GTX 1050 Ti,4,1341,1455,Black / Orange,191,159.99
Asus,Phoenix OC,GeForce GTX 1660,6,1530,1830,Black / White,174,209.99
Asus,TUF Gaming X3 EVO OC,Radeon RX 5700 XT,8,1605,1980,Black,282.6,706.48
MSI,GAMING X,GeForce GTX 1070,8,1506,1797,Black / Red,279,574.99
