brand,model,form_factor,eff_rating,wattage,modular,color,price
Corsair,CXM V2 (2017),ATX,80+ Bronze,750,Semi,Black / White,
Thermaltake,Smart RGB,ATX,80+,500,No,Black,63.99
Phanteks,Revolt X,ATX,80+ Platinum,1200,Full,Black / Silver,435.99
EVGA,BQ,ATX,80+ Bronze,850,Semi,,117.49
Corsair,RMx,ATX,80+ Gold,750,Full,,214.88
KOLINK,ENCLAVE,ATX,80+ Gold,600,Full,Black / Yellow,
Silverstone,SX700-PT,SFX,80+ Platinum,700,Full,Black,174.99
Cooler Master,MWEBronzeV2,ATX,80+ Bronze,650,No,Black,
be quiet!,PurePower11CM,ATX,80+ Gold,700,Semi,Black,109.90
KOLINK,ENCLAVE,ATX,80+ Gold,700,Full,Black / Yellow,
Enermax,Revolution D.F.,ATX,80+ Gold,850,Full,Black / Silver,
SeaSonic,FOCUS SGX,SFX,80+ Gold,650,Full,Black,312.99
SeaSonic,FOCUS Plus Platinum,ATX,80+ Platinum,750,Full,,150.98
Thermaltake,TR2,ATX,,500,No,,34.99
SeaSonic,CORE GM,ATX,80+ Gold,650,Semi,Black,
Corsair,CXM,ATX,80+ Bronze,500,Semi,,99.99
Thermaltake,Smart Pro RGB,ATX,80+ Bronze,650,Full,,214.99
Corsair,TXM Gold,ATX,80+ Gold,850,Semi,,
Fractal Design,Ion+,ATX,80+ Platinum,560,Full,Black,97.99
SeaSonic,FOCUS,ATX,80+ Gold,850,Full,Black,
Rosewill,LEPTON,ATX,80+ Gold,500,Semi,Black,59.99
Corsair,VS,ATX,80+,550,No,,
Super Flower,LeadexIIIGold,ATX,80+ Gold,750,Full,Black,129.99
be quiet!,DarkPowerPro12,ATX,80+ Titanium,1200,Full,Black,999.99
GameMax,GP,ATX,80+ Bronze,650,No,Black,
SeaSonic,PRIME Platinum,ATX,80+ Platinum,1300,Full,Black,
SeaSonic,PRIME Titanium,ATX,80+ Titanium,1000,Full,,899.00
Thermaltake,Toughpower GF1 PE,ATX,80+ Gold,650,Full,,99.99
Corsair,CXF,ATX,80+ Bronze,750,Full,Black,
SeaSonic,FOCUS SGX,SFX,80+ Gold,500,Full,Black,99.99
Thermaltake,Toughpower Grand RGB,ATX,80+ Gold,750,Full,,119.99
Thermaltake,Toughpower DPS G RGB Titanium,ATX,80+ Titanium,1500,Full,,430.21
SeaSonic,FOCUS,ATX,80+ Platinum,750,Full,Black,144.99
PowerSpec,PS 650BSM,ATX,80+ Bronze,650,Semi,Black,
Super Flower,LeadexIIIGold,ATX,80+ Gold,650,Full,Black,119.99
Antec,NeoECO Classic,ATX,80+ Bronze,550,No,Black,64.98
be quiet!,DarkPowerPro12,ATX,80+ Titanium,1500,Full,Black,
Antec,Earthwatts Gold Pro,ATX,80+ Gold,750,Semi,Black,190.00
Cooler Master,MWEBronzeV2,ATX,80+ Bronze,750,No,Black,174.06
EVGA,G2,ATX,80+ Gold,750,Full,,
Thermaltake,TR2,ATX,,600,No,,53.99
Silverstone,SX650-G,SFX,80+ Gold,650,Full,,125.99
SeaSonic,FOCUS,ATX,80+ Gold,650,Semi,Black,99.99
EVGA,100-N1-0650-L1,ATX,,650,No,,58.52
Thermaltake,Toughpower iRGB PLUS,ATX,80+ Titanium,1250,Full,,410.99
Corsair,RMx,ATX,80+ Gold,850,Full,,249.00
Silverstone,Essential,ATX,80+ Gold,750,No,Black / Yellow,92.76
Gigabyte,B-H,ATX,80+ Bronze,700,Semi,Black,
Corsair,CX (2017),ATX,80+ Bronze,750,No,,94.99
Corsair,CXM,ATX,80+ Bronze,600,Semi,,
Cooler Master,MWEWhiteV2230V,ATX,80+,400,No,Black,
EVGA,B3,ATX,80+ Bronze,450,Full,,
