brand,model,speed,modules,price_per_gb,color,first_word_lat,cas_lat,price
Team,T-Force Delta RGB 32 GB,DDR4-3200,2 x 16GB,3.750,Black / Silver,10,16,119.99
Team,TED48G2400C1601 8 GB,DDR4-2400,1 x 8GB,3.311,,13.333,16,26.49
Corsair,Vengeance LPX 8 GB,DDR4-3000,1 x 8GB,5.963,Black,10.667,16,47.70
Corsair,Vengeance RGB Pro 32 GB,DDR4-3600,4 x 8GB,,White,10,18,
G.Skill,Trident Z RGB 32 GB,DDR4-3600,4 x 8GB,9.344,Black,8.889,16,299.00
G.Skill,Trident Z Neo 16 GB,DDR4-3800,2 x 8GB,11.874,Black / Silver,7.368,14,189.99
Kingston,HyperX Fury 8 GB,DDR4-2400,1 x 8GB,4.624,Black,12.5,15,36.99
G.Skill,Ripjaws V 16 GB,DDR4-3600,2 x 8GB,4.062,Red / Black,10.556,19,64.99
Gigabyte,AORUS RGB 16 GB,DDR4-3600,2 x 8GB,9.374,Black,10,18,149.99
G.Skill,Ripjaws V Series 16 GB,DDR4-3200,1 x 16GB,3.437,Black,10,16,54.99
OLOy,MD4U163016CGDA 32 GB,DDR4-3000,2 x 16GB,2.750,Black,10.667,16,87.99
Corsair,Vengeance RGB Pro 16 GB,DDR4-3000,2 x 8GB,4.624,Black,10.667,16,73.99
Corsair,Vengeance LPX 64 GB,DDR4-3600,2 x 32GB,3.594,Black,10,18,229.99
G.Skill,Trident Z RGB 32 GB,DDR4-3600,2 x 16GB,4.031,Black,10,18,128.99
G.Skill,Ripjaws V 32 GB,DDR4-3600,4 x 8GB,,Black,10,18,
G.Skill,Trident Z Royal 16 GB,DDR4-3200,2 x 8GB,6.874,Silver,10,16,109.99
Corsair,Vengeance LPX 32 GB,DDR4-3600,4 x 8GB,4.531,Black / Yellow,10,18,144.99
Crucial,Ballistix 8 GB,DDR4-2400,2 x 4GB,4.374,Black,13.333,16,34.99
Crucial,Ballistix 32 GB,DDR4-3200,2 x 16GB,4.375,Black,10,16,139.99
Crucial,CT4K16G4VFS4266 64 GB,DDR4-2666,4 x 16GB,6.250,Green / Black,14.254,19,399.99
G.Skill,Ripjaws V 64 GB,DDR4-3600,4 x 16GB,4.844,Black,8.889,16,309.99
G.Skill,Aegis 8 GB,DDR4-3200,1 x 8GB,6.249,Red / Black,10,16,49.99
G.Skill,Trident Z RGB 32 GB,DDR4-4000,2 x 16GB,7.812,Black,9.5,19,249.99
Corsair,Vengeance LPX 128 GB,DDR4-3800,8 x 16GB,10.156,Black / Yellow,10,19,1299.99
G.Skill,Ripjaws X Series 16 GB,DDR3-1600,2 x 8GB,,Black / Red,12.5,10,
Corsair,Vengeance RGB Pro 16 GB,DDR4-3600,2 x 8GB,7.297,Black,10,18,116.75
Kingston,HyperX Fury 8 GB,DDR4-2666,1 x 8GB,,Black / Silver,12.003,16,
Crucial,CT8G4DFS824A 8 GB,DDR4-2400,1 x 8GB,3.619,Green,14.167,17,28.95
G.Skill,Trident Z RGB 128 GB,DDR4-4000,4 x 32GB,4.922,Black,9,18,629.99
G.Skill,Trident Z Neo 16 GB,DDR4-3600,2 x 8GB,4.999,Black / White,10,18,79.99
G.Skill,Trident Z RGB 64 GB,DDR4-4000,2 x 32GB,4.687,Black,9,18,299.99
Corsair,Vengeance LPX 16 GB,DDR4-2400,2 x 8GB,4.124,Black / Yellow,13.333,16,65.99
Crucial,Ballistix 64 GB,DDR4-3600,2 x 32GB,4.542,Black,8.889,16,290.67
